input_a,input_b,output
7,839,846
5,451,456
3,770,773
5,447,452
1,637,638
3,240,243
8,332,340
3,923,926
7,366,373
3,688,691
5,629,634
1,718,719
8,382,390
7,525,532
2,844,846
8,771,779
6,635,641
9,167,176
8,282,290
5,260,265
5,237,242
7,859,866
1,487,488
4,668,672
1,882,883
7,385,392
8,835,843
8,720,728
7,293,300
7,457,464
5,722,727
1,355,356
6,843,849
6,424,430
4,586,590
7,363,370
3,184,187
2,328,330
6,323,329
5,573,578
4,557,561
8,667,675
2,422,424
3,897,900
5,242,247
5,234,239
1,203,204
5,177,182
3,702,705
2,463,465
1,732,733
2,785,787
3,933,936
8,501,509
5,948,953
2,170,172
6,640,646
9,487,496
3,197,200
5,526,531
6,622,628
5,747,752
8,830,838
8,758,766
9,197,206
7,277,284
6,633,639
9,553,562
5,640,645
4,762,766
7,147,154
8,885,893
6,190,196
9,566,575
7,170,177
6,527,533
8,918,926
5,159,164
9,490,499
1,459,460
8,466,474
9,495,504
7,928,935
4,678,682
2,829,831
3,211,214
2,347,349
3,290,293
9,122,131
6,978,984
1,685,686
5,780,785
2,482,484
3,899,902
7,994,1001
4,512,516
6,417,423
4,631,635
3,630,633
6,550,556
