input_a,input_b,output
529,99,628
742,12,754
708,91,799
844,51,895
357,97,454
198,18,216
585,53,638
852,82,934
694,34,728
793,71,864
327,72,399
870,94,964
593,62,655
946,91,1037
994,62,1056
280,43,323
706,92,798
568,43,611
749,47,796
483,34,517
972,57,1029
276,39,315
560,26,586
321,53,374
186,56,242
556,82,638
878,93,971
831,23,854
560,67,627
485,11,496
678,16,694
724,53,777
142,53,195
410,68,478
159,16,175
406,15,421
582,39,621
328,70,398
608,71,679
919,80,999
178,71,249
387,87,474
637,51,688
154,88,242
953,21,974
539,23,562
374,96,470
975,87,1062
348,75,423
764,35,799
173,90,263
546,15,561
997,34,1031
895,21,916
155,62,217
518,38,556
488,98,586
542,37,579
994,98,1092
286,82,368
611,65,676
593,72,665
237,49,286
574,37,611
344,60,404
775,38,813
709,76,785
386,76,462
201,95,296
877,19,896
650,97,747
660,98,758
480,98,578
680,51,731
953,40,993
588,66,654
312,75,387
312,92,404
149,58,207
146,92,238
234,33,267
684,62,746
561,77,638
423,13,436
332,32,364
650,26,676
410,84,494
203,12,215
241,52,293
457,83,540
521,93,614
894,21,915
734,35,769
356,66,422
221,52,273
821,47,868
131,62,193
366,28,394
756,96,852
693,95,788
