input_a,input_b,output
8012,87624,95636
1973,63110,65183
8000,90156,98156
5679,15529,21208
2627,47426,50053
6721,99854,106575
8466,68396,76862
7272,25005,32277
1409,48823,50232
7910,37771,45681
6320,84620,90940
8616,37321,45937
6111,72956,79067
7946,53305,61251
5885,43720,49605
9834,18476,28310
6306,62960,69266
4754,94180,98934
4342,28182,32524
6826,43697,50523
7327,94470,101797
2544,39202,41746
9837,33356,43193
7873,51358,59231
5490,64627,70117
5451,97239,102690
2800,80048,82848
7676,16505,24181
7768,97754,105522
9929,45804,55733
7659,17419,25078
3292,68675,71967
4930,62313,67243
9683,72542,82225
5436,63351,68787
7974,90673,98647
3980,96439,100419
5039,41530,46569
8028,47846,55874
9354,42645,52099
7849,21058,28907
4638,29340,33978
1877,58148,60025
6730,70955,77685
1288,70371,71659
6988,59623,66611
8262,19691,27953
7229,73061,80390
1255,52281,53536
8395,78284,86679
2649,14092,16741
5039,88688,93727
2939,20806,23745
4541,29515,34056
2016,42151,44167
1472,54862,56334
6741,61755,68496
8637,99122,107759
4849,71688,76537
1586,54029,55615
8740,63163,71903
6045,48902,54947
6942,60433,67375
8580,21829,30409
5107,26712,31819
7673,55157,62830
3687,61170,64857
7487,99777,107264
7838,39645,47483
8982,22427,31409
6783,82868,89651
7630,37171,44801
2834,14285,17119
3130,28639,31769
9884,41870,51754
1654,62851,64505
7022,42921,49943
6313,79536,85849
3905,40651,44556
9666,92120,101786
9175,87276,96451
7468,76083,83551
9136,14838,23974
8829,34303,43132
7754,95582,103336
2395,25044,27439
6234,85711,91945
7277,88602,95879
6185,70023,76208
6290,82473,88763
2127,97922,100049
6658,90703,97361
7863,57404,65267
6797,88911,95708
1396,48137,49533
4325,84369,88694
1402,18283,19685
3873,42779,46652
9388,97355,106743
5141,47190,52331
