input_a,input_b,output
423,7,430
293,9,302
116,9,125
679,5,684
760,7,767
712,6,718
819,3,822
617,4,621
309,7,316
383,6,389
997,3,1000
671,5,676
513,7,520
884,3,887
549,3,552
511,1,512
346,5,351
757,8,765
193,1,194
791,6,797
833,5,838
716,4,720
164,5,169
169,4,173
785,4,789
443,9,452
459,5,464
416,3,419
854,6,860
850,3,853
503,4,507
699,6,705
124,1,125
420,9,429
572,9,581
669,8,677
260,6,266
926,1,927
943,1,944
702,1,703
518,3,521
329,7,336
419,8,427
816,3,819
390,3,393
830,4,834
975,6,981
865,8,873
889,3,892
795,1,796
502,2,504
199,2,201
314,3,317
459,1,460
882,4,886
469,9,478
984,5,989
329,9,338
867,7,874
690,2,692
388,1,389
635,6,641
346,8,354
371,7,378
331,5,336
521,3,524
518,1,519
219,4,223
427,4,431
809,9,818
283,2,285
286,4,290
467,7,474
140,3,143
291,5,296
142,9,151
391,3,394
900,5,905
304,3,307
171,2,173
754,5,759
985,9,994
361,3,364
102,4,106
342,6,348
171,1,172
367,5,372
879,4,883
813,9,822
825,4,829
693,5,698
511,2,513
579,1,580
977,8,985
177,4,181
452,5,457
819,2,821
799,7,806
189,6,195
969,9,978
